Entidade,Tipo,Frequência
Portugal,LOC,14
Angola,LOC,13
Guimarães,LOC,13
Tunísia,LOC,10
Cabinda,LOC,8
Brasil,LOC,6
Porto,LOC,5
Lobito,LOC,5
Tatooine,LOC,4
Matosinhos,LOC,4
Douro,LOC,3
Santander Empresas,ORG,3
Silva Porto,LOC,3
Claro,LOC,3
Santander,LOC,3
Banco Totta Standard,ORG,3
Rio de Janeiro,LOC,3
NOS,ORG,3
Hospital Velho,LOC,2
Pevidém,LOC,2
Santander,ORG,2
Vila do Conde,LOC,2
Baía,LOC,2
Itália,LOC,2
Espanha,LOC,2
Nixdorf,ORG,2
Banco Santander,ORG,2
Banco de Crédito,ORG,2
Benguela,LOC,2
Europa,LOC,2
Tomar,LOC,2
Terra,LOC,2
Leixões,LOC,2
Setembro,LOC,2
Deus,PER,2
Azurém,LOC,2
Quim,PER,1
Frossos,LOC,1
Braga,LOC,1
Marinha,ORG,1
Estado,LOC,1
África,LOC,1
Porto de Leixões,LOC,1
Brasília,LOC,1
Nuno,PER,1
Sol,LOC,1
Chuva,PER,1
Leixões do Benfica,LOC,1
Baiona,LOC,1
Longe,LOC,1
Recreio,LOC,1
Nordeste,LOC,1
Estive,LOC,1
Capitania,LOC,1
Maria José,PER,1
Capitania de,LOC,1
Capitania de Matosinhos,LOC,1
Éclays,LOC,1
Formo,PER,1
Benfica,ORG,1
Docas,LOC,1
Militar,PER,1
Salistar,LOC,1
Nava,PER,1
Palácio de Cristal,LOC,1
Mariana,LOC,1
Professora,PER,1
Romanos,LOC,1
Resposta Boa,LOC,1
Nilo,LOC,1
Sicília,LOC,1
Andámos,PER,1
Tunísia,ORG,1
Egito,LOC,1
Egipto,LOC,1
Estado de Salvador,LOC,1
Aveiro,LOC,1
Camarões,ORG,1
Spielberg,PER,1
Spectrum,ORG,1
Spectrum Juntávamos,ORG,1
Banco Totta & Açores,ORG,1
Silva Porto,PER,1
Balcão,LOC,1
Abril,ORG,1
Dezembro,LOC,1
Trabalhaste,PER,1
Casei-me,ORG,1
Cuito,LOC,1
Antas,LOC,1
Janeiro,LOC,1
NCR,ORG,1
Atendimento,ORG,1
Vim,LOC,1
Saíam do Banco?,ORG,1
Banco Totta,ORG,1
Norte de Angola,LOC,1
EUA,LOC,1
Marine Service,ORG,1
Comunidade Europeia,ORG,1
Santander,PER,1
Açores,LOC,1
França,LOC,1
Avenida D. João IV,LOC,1
Toural,LOC,1
Taipas,LOC,1
Malas,LOC,1
Baixa da Banheira,LOC,1
Avenida D. Afonso Henriques,LOC,1
Monte Largo,LOC,1
Cabeleireiras,LOC,1
Supermercados,LOC,1
Laboratório de Análises,ORG,1
Centro de Saúde,LOC,1
Netbanco,LOC,1
Farmácia,LOC,1
Pastelarias,LOC,1
Castro,PER,1
Cruz Verde,ORG,1
Hospital Novo,ORG,1
Hospital Novo,LOC,1
Nossa Senhora de Oliveira,LOC,1
Senhora de Oliveira,LOC,1
Misericórdia,LOC,1
X,PER,1
Dr. João Afonso de Almeida,PER,1
Osvaldinho,PER,1
Gil Vicente,LOC,1
Dr. Osvaldo,PER,1
Hospital do Estado,LOC,1
Hospital da Luz,LOC,1
