Keyword,Frequência
pessoa,40
altura,39
avó,30
vida,30
dia,29
cidade,28
ano,28
casa,28
pai,26
gente,23
praia,21
campo,21
mãe,19
coisa,18
avô,17
euro,15
balcão,14
banco,13
pronto,13
milho,12
trabalho,11
diferente,11
mar,10
barco,10
irmão,10
banca,10
pequeno,10
dinheiro,10
irmã,10
bocadinho,9
tarefa,9
médico,9
homem,9
guerra,9
bonito,9
hora,8
cliente,8
mesmo,8
rua,8
moeda,8
velho,8
autocarro,8
árabe,8
noite,8
água,8
bom,7
sítio,7
senhora,7
carreira,7
mau,7
computador,7
barato,7
judeu,7
brincadeira,6
bola,6
antigo,6
serviço,6
transferência,6
rapaz,6
ordenado,6
hospital,6
pão,6
leite,6
ideia,6
terra,6
batata,6
escola,6
professora,6
fotografia,6
reserva,6
real,6
cabo,6
época,6
país,6
problema,5
tio,5
brasileiro,5
mundo,5
banho,5
série,5
posto,5
rapariga,5
dificuldade,5
automóvel,5
militar,5
perna,5
normal,5
feliz,5
memória,5
conta,5
filho,5
pergunta,5
clínica,4
carro,4
castanha,4
manhã,4
shoppings,4
gerente,4
movimento,4
filha,4
disco,4
casca,4
petróleo,4
educação,4
vaca,4
dezembro,4
marinha,4
abril,4
maneira,4
inglês,4
nome,4
viagem,4
zona,4
passo,4
marinheiro,4
família,4
respeito,4
infância,4
ridículo,4
básico,4
único,4
amigo,4
domingo,4
consultório,4
saudade,4
cama,4
bocado,4
caixa,3
bacalhau,3
administrativo,3
último,3
alegria,3
praça,3
meia,3
livro,3
setembro,3
razão,3
feira,3
situação,3
americano,3
terreno,3
cêntimo,3
idade,3
contrário,3
comando,3
férias,3
dúvida,3
coragem,3
orgulho,3
português,3
labrador,3
vizinho,3
jóia,3
cenário,3
calção,3
objetivo,3
familiar,3
emprego,3
pastelaria,3
escudo,3
filme,3
campismo,3
perigoso,3
igual,3
bicicleta,3
junto,3
fila,3
resto,3
semana,3
cara,3
espera,3
fase,3
mostra,3
peixe,3
central,3
festa,3
sachar,3
sopa,3
verde,3
espaço,3
centro,3
dentista,3
erva,3
reforma,2
tristeza,2
empresa,2
recebido,2
população,2
pobre,2
passar,2
agressivo,2
piores,2
dever,2
língua,2
janeiro,2
unha,2
húmido,2
diferença,2
autoestrada,2
luz,2
exploração,2
televisão,2
evoluir,2
reduzido,2
horário,2
edifício,2
crédito,2
papel,2
carne,2
briga,2
mão,2
barulho,2
óculos,2
causa,2
empresário,2
stock,2
depósito,2
cheque,2
privado,2
cheio,2
início,2
futebol,2
estrangeiro,2
meio,2
freguesia,2
bastante,2
professor,2
ovinho,2
câmbio,2
físico,2
apartamento,2
histórico,2
adaptação,2
resposta,2
disciplinado,2
equipa,2
mesa,2
inverno,2
espiga,2
animal,2
cozinha,2
rico,2
antiquado,2
caso,2
canalha,2
criança,2
venda,2
restaurante,2
onda,2
star,2
parque,2
luxo,2
gajo,2
código,2
havaiano,2
fácil,2
jantar,2
atenção,2
sábado,2
estação,2
hóquei,2
taco,2
romano,2
turismo,2
principal,2
conflito,2
aldeia,2
verão,2
facilidade,2
amor,2
escondidas,2
malha,2
tempo,2
judaico,2
sócio,2
seguinte,2
data,2
cansado,2
fragata,2
defeito,2
refeição,2
sogra,2
efeito,2
especial,2
cinema,2
bolo,2
entretenimento,2
corrida,2
diversão,2
comboio,2
história,2
fuzileiro,2
senha,2
territorial,2
castelo,2
multa,2
importante,2
passado,2
quente,2
óbvio,2
medalha,2
combate,2
sisudo,2
neto,2
tia,2
fome,2
pena,2
espetacular,2
certo,2
pequenino,2
nasceste,1
quarto,1
mercado,1
vimaranense,1
orgulhoso,1
cuidadoso,1
limpo,1
típico,1
conservado,1
janela,1
verídico,1
fogueira,1
feijão,1
progressão,1
profissional,1
avenida,1
termo,1
localizar,1
porta,1
fiscalização,1
curiosidade,1
capitão,1
medalhado,1
prático,1
salvação,1
mulher,1
ferro,1
frio,1
importância,1
mente,1
amiga,1
criada,1
piore,1
viatura,1
treino,1
voluntariado,1
intervalo,1
demência,1
cancro,1
seguida,1
totalidade,1
presente,1
visita,1
praxe,1
chato,1
doente,1
netinho,1
capitania,1
obrigação,1
curva,1
queijo,1
salvos,1
completo,1
aluno,1
bisavô,1
diria,1
queriar,1
costumava,1
chocolate,1
brinquedo,1
terminava,1
racionalizada,1
bebida,1
gostavas,1
voluntário,1
carta,1
prazo,1
sorteio,1
desistência,1
entanto,1
incorporação,1
tropa,1
sobrinho,1
paraquedismo,1
sargento,1
paraquedista,1
atual,1
tenente,1
contigo,1
fazer,1
submarino,1
alemão,1
ração,1
rede,1
social,1
passatempo,1
percebas,1
camarão,1
pequenininho,1
rocha,1
era,1
primária,1
secundário,1
borracha,1
quilómetro,1
arrábida,1
andar,1
jogo,1
aleatório,1
pescador,1
diploma,1
covo,1
náufrago,1
participação,1
acelera,1
polícia,1
milhar,1
habilidade,1
condutor,1
terreiro,1
senhorio,1
comida,1
conosco,1
roupa,1
telemóvei,1
sol,1
geração,1
caranguejo,1
marisqueira,1
paixão,1
tenda,1
adulto,1
connosco,1
desespero,1
sentimento,1
fita,1
métrico,1
risco,1
navio,1
colega,1
civil,1
ocasião,1
escapismo,1
condução,1
discoteca,1
solução,1
coqueluche,1
marca,1
socorro,1
assustadora,1
barquinho,1
fundo,1
música,1
loja,1
contente,1
gelado,1
chuva,1
biquíni,1
caro,1
lagosta,1
marisco,1
revista,1
tabacaria,1
linha,1
cassete,1
leitor,1
rudimentar,1
primitivo,1
tratamento,1
oportunidade,1
largo,1
nordeste,1
tartaruga,1
legume,1
trabalhoso,1
cor,1
sinal,1
dedo,1
calçõe,1
ovo,1
fantástico,1
transição,1
volta,1
metade,1
caríssimo,1
mínimo,1
estranho,1
cano,1
chinelo,1
cerveja,1
sobremesa,1
valor,1
alojamento,1
forte,1
propulsão,1
padrão,1
almoço,1
osso,1
iodo,1
temporal,1
leixão,1
terça,1
quinto,1
frequência,1
esqueça,1
perfeito,1
harmonia,1
israelita,1
palestiniano,1
short,1
shortsinho,1
toalha,1
braço,1
turista,1
pirâmide,1
lindíssimo,1
europeu,1
influência,1
autor,1
saga,1
alteração,1
carrinho,1
deidade,1
borda,1
conversa,1
informal,1
lembra,1
carinho,1
claro,1
curto,1
distância,1
azeite,1
tounense,1
universo,1
deserto,1
fenícia,1
povo,1
mafia,1
judeus,1
tunisino,1
produção,1
conceção,1
religião,1
tolerado,1
fundamentalista,1
cota,1
adepto,1
disciplina,1
treta,1
frito,1
motor,1
cristal,1
pista,1
furioso,1
comportar,1
caráter,1
índole,1
região,1
origem,1
velja,1
menina,1
mimo,1
livre,1
liberdade,1
descalço,1
árvore,1
empatia,1
macaca,1
escondida,1
porrado,1
coberto,1
estudo,1
casamento,1
desgosto,1
estaco,1
tomate,1
tardinha,1
verdade,1
mentira,1
recorda,1
falecido,1
responsável,1
certinho,1
caneta,1
boné,1
prospeção,1
evolução,1
companhia,1
logística,1
sonda,1
atraso,1
alto,1
parecido,1
rígido,1
humilde,1
estragado,1
humildade,1
sobrinha,1
percurso,1
solidário,1
floresta,1
expectativa,1
licença,1
vencimento,1
sentido,1
imponente,1
indispensável,1
angolano,1
justificação,1
estilo,1
clima,1
extraordinário,1
âmbito,1
política,1
independência,1
formidável,1
tranquilo,1
convosco,1
amizade,1
apoiado,1
queixa,1
sul,1
africano,1
espanhol,1
libanese,1
nacionalidade,1
maio,1
orelha,1
senhor,1
junho,1
julho,1
seco,1
primeiro,1
marido,1
lugar,1
iniciante,1
escalão,1
procuradora,1
acaso,1
primo,1
penúltimo,1
palmada,1
palavra,1
dúzia,1
reguar,1
pimentar,1
candeeiro,1
lar,1
estudante,1
extrato,1
digitalizado,1
informático,1
gabinete,1
direcção,1
secretariado,1
secretária,1
gerência,1
subgerente,1
aplicação,1
financeiro,1
atendimento,1
metro,1
largura,1
máquina,1
casado,1
ficha,1
levantamento,1
digital,1
técnico,1
relativo,1
configuração,1
azar,1
colheita,1
vinho,1
outubro,1
sequinho,1
rancho,1
folclórico,1
arroz,1
massa,1
pãozinho,1
sala,1
compra,1
acordo,1
franco,1
funcionário,1
empregado,1
economia,1
industrializar,1
pagamento,1
movimentar,1
multibanco,1
média,1
exagero,1
preciso,1
turno,1
capacidade,1
qualidade,1
fusão,1
instalação,1
imigrante,1
saco,1
nota,1
demorado,1
acesso,1
cambial,1
galinha,1
horríveis,1
cego,1
padaria,1
máscara,1
eira,1
gira,1
distar,1
período,1
incerteza,1
bisavó,1
recurso,1
francês,1
libra,1
remessa,1
taipas,1
aspeto,1
difícil,1
facilitado,1
operação,1
bancário,1
autoestrar,1
comunicação,1
hipermercado,1
saúde,1
especialidade,1
oftalmologista,1
medicina,1
dentário,1
creche,1
ginecologista,1
condição,1
sesta,1
liberal,1
bebé,1
ginecologia,1
referência,1
concretamente,1
aconchegante,1
gémeo,1
piscina,1
atividade,1
ginásio,1
semanal,1
ironia,1
destino,1
vivo,1
esquina,1
deslocação,1
quantidade,1
razoável,1
transporte,1
aeroporto,1
inauguração,1
veterinária,1
